Date,Open,Close
2010-09-15,42.31999969482422,43.25
2010-09-16,43.33000183105469,43.150001525878906
2010-09-17,43.36000061035156,43.380001068115234
2010-09-20,43.630001068115234,44.18000030517578
2010-09-21,44.150001525878906,43.959999084472656
2010-09-22,43.880001068115234,43.630001068115234
2010-09-23,43.119998931884766,43.290000915527344
2010-09-24,44.0,44.54999923706055
2010-09-27,44.5,44.84000015258789
2010-09-28,44.86000061035156,45.33000183105469
2010-09-29,45.04999923706055,46.130001068115234
2010-09-30,46.4900016784668,46.810001373291016
2010-10-01,47.18000030517578,47.2599983215332
2010-10-04,47.130001068115234,46.70000076293945
2010-10-05,47.400001525878906,48.13999938964844
2010-10-06,48.06999969482422,47.91999816894531
2010-10-07,48.2599983215332,47.75
2010-10-08,47.84000015258789,47.810001373291016
2010-10-11,47.84000015258789,48.040000915527344
2010-10-12,47.86000061035156,48.02000045776367
2010-10-13,48.34000015258789,48.81999969482422
2010-10-14,48.7400016784668,48.52000045776367
2010-10-15,48.91999816894531,48.4900016784668
2010-10-18,48.65999984741211,48.380001068115234
2010-10-19,47.630001068115234,47.349998474121094
2010-10-20,47.40999984741211,48.36000061035156
2010-10-21,48.66999816894531,48.68000030517578
2010-10-22,49.630001068115234,49.02000045776367
2010-10-25,49.650001525878906,50.06999969482422
2010-10-26,49.529998779296875,50.16999816894531
2010-10-27,49.81999969482422,49.84000015258789
2010-10-28,50.119998931884766,49.470001220703125
2010-10-29,49.27000045776367,50.130001068115234
2010-11-01,50.59000015258789,50.189998626708984
2010-11-02,50.83000183105469,50.75
2010-11-03,50.70000076293945,50.9900016784668
2010-11-04,51.630001068115234,52.779998779296875
2010-11-05,52.95000076293945,53.099998474121094
2010-11-08,52.939998626708984,52.880001068115234
2010-11-09,53.06999969482422,52.5
2010-11-10,52.529998779296875,53.0
2010-11-11,52.439998626708984,52.959999084472656
2010-11-12,52.5099983215332,51.959999084472656
2010-11-15,52.189998626708984,52.13999938964844
2010-11-16,51.58000183105469,51.18000030517578
2010-11-17,51.22999954223633,51.2400016784668
2010-11-18,52.11000061035156,52.79999923706055
2010-11-19,52.65999984741211,53.47999954223633
2010-11-22,53.06999969482422,53.93000030517578
2010-11-23,53.16999816894531,52.900001525878906
2010-11-24,53.380001068115234,54.54999923706055
2010-11-26,54.09000015258789,54.11000061035156
2010-11-29,53.65999984741211,54.29999923706055
2010-11-30,53.66999816894531,54.09000015258789
2010-12-01,55.02000045776367,55.369998931884766
2010-12-02,55.369998931884766,55.0
2010-12-03,54.83000183105469,55.22999954223633
2010-12-06,55.209999084472656,55.36000061035156
2010-12-07,54.900001525878906,55.56999969482422
2010-12-08,55.70000076293945,54.41999816894531
2010-12-09,54.81999969482422,55.06999969482422
2010-12-10,55.27000045776367,55.38999938964844
2010-12-13,55.4900016784668,55.04999923706055
2010-12-14,55.2400016784668,55.63999938964844
2010-12-15,55.349998474121094,54.810001373291016
2010-12-16,54.869998931884766,55.459999084472656
2010-12-17,55.599998474121094,56.29999923706055
2010-12-20,56.29999923706055,55.779998779296875
2010-12-21,55.970001220703125,56.72999954223633
2010-12-22,56.88999938964844,56.15999984741211
2010-12-23,56.150001525878906,56.150001525878906
2010-12-27,55.970001220703125,56.04999923706055
2010-12-28,56.20000076293945,55.93000030517578
2010-12-29,56.0,56.36000061035156
2010-12-30,56.20000076293945,56.130001068115234
2010-12-31,56.060001373291016,55.779998779296875
2011-01-03,56.119998931884766,55.86000061035156
2011-01-04,56.08000183105469,55.34000015258789
2011-01-05,55.0099983215332,55.15999984741211
2011-01-06,55.380001068115234,54.810001373291016
2011-01-07,54.959999084472656,54.68000030517578
2011-01-10,54.36000061035156,55.04999923706055
2011-01-11,55.400001525878906,55.79999923706055
2011-01-12,56.400001525878906,58.810001373291016
2011-01-13,59.279998779296875,58.439998626708984
2011-01-14,58.47999954223633,59.86000061035156
2011-01-18,59.95000076293945,60.65999984741211
2011-01-19,58.83000183105469,57.25
2011-01-20,56.650001525878906,56.869998931884766
2011-01-21,57.29999923706055,57.689998626708984
2011-01-24,57.560001373291016,57.70000076293945
2011-01-25,58.0,57.0
2011-01-26,56.790000915527344,57.11000061035156
2011-01-27,57.38999938964844,56.880001068115234
2011-01-28,56.720001220703125,55.58000183105469
2011-01-31,55.599998474121094,56.15999984741211
2011-02-01,57.099998474121094,57.7400016784668
2011-02-02,57.65999984741211,57.63999938964844
2011-02-03,57.33000183105469,57.5099983215332
2011-02-04,57.689998626708984,57.84000015258789
2011-02-07,57.959999084472656,57.43000030517578
2011-02-08,57.5099983215332,57.56999969482422
2011-02-09,57.22999954223633,57.220001220703125
2011-02-10,56.83000183105469,57.18000030517578
2011-02-11,57.130001068115234,57.36000061035156
2011-02-14,57.349998474121094,57.619998931884766
2011-02-15,57.459999084472656,57.77000045776367
2011-02-16,57.959999084472656,58.560001373291016
2011-02-17,58.619998931884766,59.04999923706055
2011-02-18,59.279998779296875,59.349998474121094
2011-02-22,58.779998779296875,57.130001068115234
