Date,ABBV,Prediction ABBV,ACN,Prediction ACN
2020-01-30,81.78,0.0,208.37,0.0
2020-01-31,81.02,0.0,205.21,0.0
2020-02-03,82.3,0.0,207.8,0.0
2020-02-04,84.36,0.0,212.53,0.0
2020-02-05,86.63,0.0,212.22,0.0
2020-02-06,87.18,0.0,214.16,0.0
2020-02-07,92.29,0.0,211.58,0.0
2020-02-10,94.75,0.0,212.55,0.0
2020-02-11,96.0,0.0,212.14,0.0
2020-02-12,97.79,0.0,211.99,0.0
2020-02-13,95.35,0.0,212.4,0.0
2020-02-14,94.05,0.0,212.37,0.0
2020-02-18,93.61,0.0,213.76,0.0
2020-02-19,94.14,0.0,215.92,0.0
2020-02-20,94.23,0.0,213.9,0.0
2020-02-21,94.96,0.0,211.89,0.0
2020-02-24,93.14,0.0,204.36,0.0
2020-02-25,89.18,0.0,197.1,0.0
2020-02-26,88.41,0.0,195.67,0.0
2020-02-27,85.42,0.0,186.44,0.0
2020-02-28,85.71,0.0,180.59,0.0
2020-03-02,88.69,0.0,189.55,0.0
2020-03-03,87.57,0.0,182.22,0.0
2020-03-04,91.75,0.0,188.86,0.0
2020-03-05,90.61,0.0,182.56,0.0
2020-03-06,88.82,0.0,178.75,0.0
2020-03-09,85.27,0.0,164.11,0.0
2020-03-10,87.53,0.0,174.56,0.0
2020-03-11,84.85,0.0,165.11,0.0
2020-03-12,78.61,0.0,152.53,0.0
2020-03-13,85.37,0.0,166.51,0.0
2020-03-16,74.27,0.0,152.54,0.0
2020-03-17,73.02,0.0,157.71,0.0
2020-03-18,71.03,0.0,151.15,0.0
2020-03-19,71.06,0.0,158.5,0.0
2020-03-20,68.82,0.0,149.94,0.0
2020-03-23,64.5,0.0,143.69,0.0
2020-03-24,67.49,0.0,156.85,0.0
2020-03-25,67.91,0.0,151.82,0.0
2020-03-26,73.83,0.0,171.34,0.0
2020-03-27,72.67,0.0,162.88,0.0
2020-03-30,75.24,0.0,169.82,0.0
2020-03-31,76.19,0.0,163.26,0.0
2020-04-01,73.42,0.0,154.68,0.0
2020-04-02,75.13,0.0,156.27,0.0
2020-04-03,73.37,0.0,152.15,0.0
2020-04-06,75.73,0.0,166.05,0.0
2020-04-07,75.39,0.0,164.12,0.0
2020-04-08,78.56,0.0,171.73,0.0
2020-04-09,79.75,0.0,177.92,0.0
